x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;
-350;-300;-276.1357;-287.6809;6.843037;;-350;0;-348.9642;13.61107;1.266714;;-350;300;-353.3076;328.2669;2.63277;;0;300;9.335821;338.8955;3.796379;;350;300;346.2603;317.7446;1.681908;;350;0;366.4316;17.04116;2.233795;;350;-300;344.7514;-292.9187;0.7556288;;0;-300;-2.013613;-279.3825;1.850443;;0;0;-14.6214;46.84487;4.742104;;
-350;-300;-376.4481;-278.0747;3.18383;;-350;0;-376.3464;47.40064;5.123079;;-350;300;-374.0683;349.2275;5.034233;;0;300;-6.103383;341.3341;3.973995;;350;300;346.218;334.9645;3.259126;;350;0;344.9777;16.75289;1.58041;;350;-300;340.1534;-290.5467;1.143466;;0;-300;-17.16849;-281.8089;2.290637;;0;0;-13.4359;39.68691;3.997578;;
-350;-300;-359.4809;-322.5347;2.085159;;-350;0;-360.3125;0.9587831;0.9608305;;-350;300;-360.0432;309.7767;1.276716;;0;300;17.01647;309.6158;1.85002;;350;300;373.3024;306.5074;2.128816;;350;0;374.3586;5.726977;2.272364;;350;-300;364.2187;-307.1657;1.336327;;0;-300;12.28222;-312.8242;1.599855;;0;0;12.89113;19.10714;2.228532;;
-350;-300;-366.0874;-310.733;1.607421;;-350;0;-367.2358;8.683476;1.787065;;-350;300;-361.9886;317.4262;1.930872;;0;300;-10.15372;324.9202;2.554509;;350;300;359.3808;326.015;2.555582;;350;0;353.8759;15.93458;1.530974;;350;-300;346.891;-297.0854;0.3626169;;0;-300;-14.38777;-302.1063;1.366733;;0;0;-13.32764;24.40128;2.669905;;
-350;-300;-372.2729;-220.116;7.708641;;-350;0;-343.7519;108.4273;10.23693;;-350;300;-294.4448;395.1787;10.15583;;0;300;28.73654;394.4142;9.049436;;350;300;332.2174;309.3478;1.862671;;350;0;361.8794;-1.276119;1.112059;;350;-300;346.3825;-274.8239;2.313507;;0;-300;-20.87678;-203.3501;9.423082;;0;0;-12.4715;129.6089;12.48723;;
-350;-300;-392.4644;-383.9118;7.590317;;-350;0;-383.7057;-42.98998;4.847675;;-350;300;-336.0321;295.8355;1.293163;;0;300;-144.1554;313.6667;13.20064;;350;300;225.965;1208.32;52.45731;;350;0;380.674;24.14638;3.658215;;350;-300;334.8253;-332.0955;3.191139;;0;-300;-76.8771;-352.8763;8.257614;;0;0;-15.18875;38.26256;3.988849;;
-350;-300;-343.6999;-90.60804;19.75998;;-350;0;-335.185;220.6901;20.65709;;-350;300;-363.9294;421.4764;10.78826;;0;300;4.504361;470.2668;15.22313;;350;300;383.8484;523.6168;18.92841;;350;0;360.8097;231.1491;21.26378;;350;-300;338.6535;-4.023658;27.84663;;0;-300;-23.78613;57.39151;34.14742;;0;0;3.257505;305.2476;28.19466;;
-350;-300;-355.4934;-303.9784;0.5647526;;-350;0;-363.3454;14.54346;1.862041;;-350;300;-357.95;333.5244;3.192795;;0;300;0.01314447;340.0148;3.805291;;350;300;367.7445;331.9699;3.379392;;350;0;361.0503;6.439697;1.203823;;350;-300;350.6063;-314.6225;1.18399;;0;-300;-5.351197;-320.7095;1.768682;;0;0;-2.043268;13.95701;1.304163;;
-350;-300;-340.8069;-356.4622;4.832862;;-350;0;-349.3204;-18.91154;1.738325;;-350;300;-353.7196;295.8008;0.5035778;;0;300;25.41793;316.8704;2.893944;;350;300;196.4524;278.42;14.32473;;350;0;356.5698;-4.70724;0.7470343;;350;-300;368.2825;-333.0793;3.168483;;0;-300;143.2883;-319.9129;13.66722;;0;0;33.11763;-25.95023;4.061149;;
-350;-300;-369.7798;-289.7919;2.052808;;-350;0;-368.8732;2.965109;1.727937;;-350;300;-354.8901;342.3829;3.950816;;0;300;22.4377;344.367;4.72986;;350;300;372.0588;349.9741;5.038473;;350;0;366.8312;45.88056;4.605343;;350;-300;360.4833;-280.726;1.973777;;0;-300;1.705637;-290.1973;0.861165;;0;0;7.063911;50.62812;4.888883;;
-350;-300;-419.3479;-15.599;26.84112;;-350;0;-431.0831;77.50174;9.984695;;-350;300;-223.4238;5.437981;30.10128;;0;300;341.0189;641.9709;36.61444;;350;300;276.965;548.322;21.67822;;350;0;-1511.237;-1420.52;84.98943;;350;-300;-1215.169;-1098.909;75.15955;;0;-300;-7616.957;-8083.382;75.02856;;0;0;-430.6758;-55.24575;35.40339;;
-350;-300;-360.7263;-288.1934;1.47565;;-350;0;-360.6201;31.30953;3.118913;;-350;300;-358.5198;338.3858;3.627578;;0;300;1.874154;338.2379;3.636904;;350;300;362.0704;337.9719;3.682063;;350;0;360.6655;30.87197;3.071413;;350;-300;348.378;-292.6956;0.6262009;;0;-300;-1.09833;-292.7233;0.6437659;;0;0;-0.8346375;29.81004;2.833863;;
-350;-300;-383.649;-201.876;9.504853;;-350;0;-345.6906;46.49571;4.319966;;-350;300;-400.2851;287.8124;4.556555;;0;300;-43.18988;261.021;5.472103;;350;300;307.2976;253.3324;5.875197;;350;0;357.9009;67.65023;6.387059;;350;-300;363.5656;-111.5404;17.64442;;0;-300;15.60813;-223.2378;7.080086;;0;0;12.66702;-98.28046;8.895387;;
-350;-300;-377.2307;-199.0785;9.407447;;-350;0;-353.4961;111.5524;10.48533;;-350;300;-374.0239;416.0732;10.98591;;0;300;14.2728;447.5617;14.15119;;350;300;362.3397;411.2415;10.40632;;350;0;379.0466;97.53998;9.61186;;350;-300;367.1447;-208.8139;8.195153;;0;-300;0.1841572;-186.1235;10.24701;;0;0;-7.739602;149.1727;14.5813;;
-350;-300;-360.894;-278.7867;2.104312;;-350;0;-358.5472;38.08714;3.607823;;-350;300;-364.0599;342.2577;4.133039;;0;300;0.2083483;349.9806;4.748791;;350;300;367.076;348.4685;4.76514;;350;0;362.9264;26.84334;2.79162;;350;-300;353.1548;-284.1671;1.366876;;0;-300;-1.059919;-281.4215;1.563604;;0;0;4.1365;66.20549;6.273449;;
-350;-300;-404.9951;-289.3659;5.002963;;-350;0;-387.1052;32.62298;4.65139;;-350;300;-173.1906;327.6518;16.79671;;0;300;120.1649;360.2688;12.864;;350;300;359.0607;362.1085;5.82228;;350;0;371.2627;23.45936;2.965703;;350;-300;357.7189;-291.5148;1.022399;;0;-300;-18.31332;-272.1567;2.96055;;0;0;14.52339;78.17423;7.469525;;
-350;-300;-100.4278;-177.1451;26.46977;;-350;0;-109.9752;-16.03684;23.06703;;-350;300;-2730.268;-983.168;69.8726;;0;300;-281.204;94.50085;31.20997;;350;300;262.1982;195.1426;12.76725;;350;0;283.6747;37.64989;7.178296;;350;-300;285.9281;-119.297;18.06336;;0;-300;22.67308;-250.8952;5.122544;;0;0;-9.371244;16.71068;1.855302;;
-350;-300;-396.2307;-264.5152;3.545913;;-350;0;-382.2026;74.505;6.211451;;-350;300;-376.7673;230.4142;6.733535;;0;300;-123.646;331.3538;1.395636;;350;300;107.531;347.3935;3.371272;;350;0;102.9988;178.3216;8.795088;;350;-300;105.1889;9.817863;19.90918;;0;-300;-68.91416;-289.1047;1.025838;;0;0;-30.18491;-25.4183;2.809583;;
